id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.cercle,children_count.arrondissement,children_count.commune,zip_codes,geo.lat,geo.lon
ML-A030702,3,Arrondissement,Arrondissement,Kaï,Kaï,ka-030702,ML-A030702,,ML0307,Loulouni,Loulouni,,,,1,,10.9,-5.6
ML-A030801,3,Arrondissement,Arrondissement,Niéna,Niéna,nina-030801,ML-A030801,,,,,,,,5,,13.632,-4.996
ML-A030802,3,Arrondissement,Arrondissement,Blendio,Blendio,blendio-030802,ML-A030802,,,,,,,,5,,11.614,-6.343
ML-A030803,3,Arrondissement,Arrondissement,Finkolo Ganadougou,Finkolo Ganadougou,finkolo-ganadougou-030803,ML-A030803,,,,,,,,1,,11.228,-6.2
ML-A040101,3,Arrondissement,Arrondissement,Ségou,Ségou,sgou-040101,ML-A040101,,,,,,,,8,,13.44,-6.259
ML-A040102,3,Arrondissement,Arrondissement,Cinzana,Cinzana,cinzana-040102,ML-A040102,,,,,,,,2,,13.25,-5.967
ML-A040103,3,Arrondissement,Arrondissement,Katiéna,Katiéna,katina-040103,ML-A040103,,,,,,,,3,,13.323,-5.642
ML-A040201,3,Arrondissement,Arrondissement,Bla,Bla,bla-040201,ML-A040201,,ML0402,Bla,Bla,,,,5,,12.95,-5.76
ML-A040202,3,Arrondissement,Arrondissement,Falo,Falo,falo-040202,ML-A040202,,ML0402,Bla,Bla,,,,1,,12.95,-5.76
ML-A040203,3,Arrondissement,Arrondissement,Touna,Touna,touna-040203,ML-A040203,,ML0402,Bla,Bla,,,,2,,12.95,-5.76
ML-A040204,3,Arrondissement,Arrondissement,Somasso,Somasso,somasso-040204,ML-A040204,,ML0402,Bla,Bla,,,,2,,12.95,-5.76
ML-A040205,3,Arrondissement,Arrondissement,Dougouolo,Dougouolo,dougouolo-040205,ML-A040205,,ML0402,Bla,Bla,,,,1,,12.95,-5.76
ML-A040301,3,Arrondissement,Arrondissement,Barouéli,Barouéli,barouli-040301,ML-A040301,,,,,,,,2,,13.077,-6.831
ML-A040302,3,Arrondissement,Arrondissement,Konobougou,Konobougou,konobougou-040302,ML-A040302,,,,,,,,1,,12.92,-6.757
ML-A040303,3,Arrondissement,Arrondissement,Sanando,Sanando,sanando-040303,ML-A040303,,,,,,,,5,,13.334,-8.241
ML-A040304,3,Arrondissement,Arrondissement,Tamani,Tamani,tamani-040304,ML-A040304,,,,,,,,4,,13.336,-6.835
ML-A040401,3,Arrondissement,Arrondissement,Niono,Niono,niono-040401,ML-A040401,,ML0404,Niono,Niono,,,,7,,14.251,-5.987
ML-A040402,3,Arrondissement,Arrondissement,Pogo,Pogo,pogo-040402,ML-A040402,,ML0404,Niono,Niono,,,,1,,14.251,-5.987
ML-A040501,3,Arrondissement,Arrondissement,Macina,Macina,macina-040501,ML-A040501,,ML0405,Macina,Macina,,,,1,,14.308,-11.506
ML-A040502,3,Arrondissement,Arrondissement,Kolongotomo,Kolongotomo,kolongotomo-040502,ML-A040502,,ML0405,Macina,Macina,,,,3,,14.308,-11.506
ML-A040503,3,Arrondissement,Arrondissement,Monimpébougou,Monimpébougou,monimpbougou-040503,ML-A040503,,ML0405,Macina,Macina,,,,1,,14.308,-11.506
ML-A040504,3,Arrondissement,Arrondissement,Saye,Saye,saye-040504,ML-A040504,,ML0405,Macina,Macina,,,,2,,14.308,-11.506
ML-A040601,3,Arrondissement,Arrondissement,Dioro,Dioro,dioro-040601,ML-A040601,,ML0406,Dioro,Dioro,,,,2,,13.689,-5.831
ML-A040602,3,Arrondissement,Arrondissement,Diédougou,Diédougou,didougou-040602,ML-A040602,,ML0406,Dioro,Dioro,,,,1,,13.689,-5.831
ML-A040603,3,Arrondissement,Arrondissement,Farakou Massa,Farakou Massa,farakou-massa-040603,ML-A040603,,ML0406,Dioro,Dioro,,,,1,,13.689,-5.831
ML-A040701,3,Arrondissement,Arrondissement,Farako,Farako,farako-040701,ML-A040701,,ML0407,Farako,Farako,,,,4,,14.943,-6.791
ML-A040702,3,Arrondissement,Arrondissement,Doura,Doura,doura-040702,ML-A040702,,ML0407,Farako,Farako,,,,3,,14.943,-6.791
ML-A040801,3,Arrondissement,Arrondissement,Nampala,Nampala,nampala-040801,ML-A040801,,ML0408,Nampala,Nampala,,,,1,,15.281,-5.555
ML-A040802,3,Arrondissement,Arrondissement,Dioura,Dioura,dioura-040802,ML-A040802,,ML0408,Nampala,Nampala,,,,1,,15.281,-5.555
ML-A040803,3,Arrondissement,Arrondissement,Beïty Bimiya,Beïty Bimiya,bety-bimiya-040803,ML-A040803,,ML0408,Nampala,Nampala,,,,1,,15.281,-5.555
ML-A040804,3,Arrondissement,Arrondissement,Diguiciré,Diguiciré,diguicir-040804,ML-A040804,,ML0408,Nampala,Nampala,,,,1,,15.281,-5.555
ML-A040901,3,Arrondissement,Arrondissement,Sokolo,Sokolo,sokolo-040901,ML-A040901,,ML0409,Sokolo,Sokolo,,,,1,,14.733,-6.122
ML-A040902,3,Arrondissement,Arrondissement,Dogofry,Dogofry,dogofry-040902,ML-A040902,,ML0409,Sokolo,Sokolo,,,,1,,14.733,-6.122
ML-A040903,3,Arrondissement,Arrondissement,Diabaly,Diabaly,diabaly-040903,ML-A040903,,ML0409,Sokolo,Sokolo,,,,1,,14.733,-6.122
ML-A041001,3,Arrondissement,Arrondissement,Markala,Markala,markala-041001,ML-A041001,,ML0410,Markala,Markala,,,,3,,13.816,-5.358
ML-A041002,3,Arrondissement,Arrondissement,Sansanding,Sansanding,sansanding-041002,ML-A041002,,ML0410,Markala,Markala,,,,2,,13.816,-5.358
ML-A041003,3,Arrondissement,Arrondissement,Boussin,Boussin,boussin-041003,ML-A041003,,ML0410,Markala,Markala,,,,1,,13.816,-5.358
ML-A041101,3,Arrondissement,Arrondissement,Sarro,Sarro,sarro-041101,ML-A041101,,ML0411,Sarro,Sarro,,,,3,,13.721,-5.239
ML-A041102,3,Arrondissement,Arrondissement,Souleye,Souleye,souleye-041102,ML-A041102,,ML0411,Sarro,Sarro,,,,1,,13.721,-5.239
ML-A050101,3,Arrondissement,Arrondissement,Mopti,Mopti,mopti-050101,ML-A050101,,ML0501,Mopti,Mopti,,,,2,,14.484,-4.183
ML-A050102,3,Arrondissement,Arrondissement,Dialloubé,Dialloubé,dialloub-050102,ML-A050102,,ML0501,Mopti,Mopti,,,,1,,14.484,-4.183
ML-A050103,3,Arrondissement,Arrondissement,Fatoma,Fatoma,fatoma-050103,ML-A050103,,ML0501,Mopti,Mopti,,,,3,,14.484,-4.183
ML-A050104,3,Arrondissement,Arrondissement,Sendegué,Sendegué,sendegu-050104,ML-A050104,,ML0501,Mopti,Mopti,,,,1,,14.484,-4.183
ML-A050105,3,Arrondissement,Arrondissement,Soufouroulaye,Soufouroulaye,soufouroulaye-050105,ML-A050105,,ML0501,Mopti,Mopti,,,,1,,14.484,-4.183
ML-A050106,3,Arrondissement,Arrondissement,Soye,Soye,soye-050106,ML-A050106,,ML0501,Mopti,Mopti,,,,1,,14.484,-4.183
ML-A050107,3,Arrondissement,Arrondissement,Ouro-Modi,Ouro-Modi,ouro-modi-050107,ML-A050107,,ML0501,Mopti,Mopti,,,,3,,14.484,-4.183
ML-A050201,3,Arrondissement,Arrondissement,Djenné,Djenné,djenn-050201,ML-A050201,,ML0502,Djenné,Djenne,,,,5,,13.906,-4.553
ML-A050202,3,Arrondissement,Arrondissement,Konio,Konio,konio-050202,ML-A050202,,ML0502,Djenné,Djenne,,,,2,,13.906,-4.553
ML-A050203,3,Arrondissement,Arrondissement,Kouakourou,Kouakourou,kouakourou-050203,ML-A050203,,ML0502,Djenné,Djenne,,,,2,,13.906,-4.553
ML-A050204,3,Arrondissement,Arrondissement,Mougna,Mougna,mougna-050204,ML-A050204,,ML0502,Djenné,Djenne,,,,1,,13.906,-4.553
ML-A050205,3,Arrondissement,Arrondissement,Taga,Taga,taga-050205,ML-A050205,,ML0502,Djenné,Djenne,,,,1,,13.906,-4.553
ML-A050301,3,Arrondissement,Arrondissement,Ténenkou,Ténenkou,tnenkou-050301,ML-A050301,,ML0503,Ténenkou,Tenenkou,,,,5,,14.457,-4.917
ML-A050302,3,Arrondissement,Arrondissement,Diafarabé,Diafarabé,diafarab-050302,ML-A050302,,ML0503,Ténenkou,Tenenkou,,,,1,,14.457,-4.917
